name,type,category,capacity_mw,lat,lon,source
CHIBRO (YAMUNA),Power Plant (Hydro),Thermal/Power Industry,240.0,30.5559,77.7915,WRI Power Database
CHILLA,Power Plant (Hydro),Thermal/Power Industry,144.0,29.976,78.2203,WRI Power Database
CHUTAK,Power Plant (Hydro),Thermal/Power Industry,44.0,34.4903,76.1137,WRI Power Database
CHUZACHEN,Power Plant (Hydro),Thermal/Power Industry,110.0,27.2093,88.6659,WRI Power Database
CORE GREEN SUGAR,Power Plant (Biomass),Thermal/Power Industry,24.0,16.5471,77.0825,WRI Power Database
ChSP} AES,Power Plant (Solar),Thermal/Power Industry,14.9,23.908,71.212,WRI Power Database
ChSP} Alex,Power Plant (Solar),Thermal/Power Industry,25.1,23.915,71.217,WRI Power Database
ChSP} Astra Solren I,Power Plant (Solar),Thermal/Power Industry,40.0,23.92,71.18,WRI Power Database
ChSP} Astra Solren II,Power Plant (Solar),Thermal/Power Industry,25.0,23.926,71.214,WRI Power Database
ChSP} Avtar,Power Plant (Solar),Thermal/Power Industry,5.0,23.916,71.1922,WRI Power Database
ChSP} Emami,Power Plant (Solar),Thermal/Power Industry,10.1,23.9021,71.2015,WRI Power Database
ChSP} GAC,Power Plant (Solar),Thermal/Power Industry,15.0,23.908,71.216,WRI Power Database
ChSP} GIPCL B4a,Power Plant (Solar),Thermal/Power Industry,40.0,23.904,71.184,WRI Power Database
ChSP} GIPCL B4b,Power Plant (Solar),Thermal/Power Industry,40.0,23.911,71.185,WRI Power Database
ChSP} GMR,Power Plant (Solar),Thermal/Power Industry,25.0,23.9027,71.1935,WRI Power Database
ChSP} GPC,Power Plant (Solar),Thermal/Power Industry,5.0,23.8892,71.2049,WRI Power Database
ChSP} GSPC,Power Plant (Solar),Thermal/Power Industry,5.0,23.8829,71.1915,WRI Power Database
ChSP} Kindle,Power Plant (Solar),Thermal/Power Industry,50.0,23.903,71.233,WRI Power Database
ChSP} Kiran,Power Plant (Solar),Thermal/Power Industry,20.1,23.901,71.215,WRI Power Database
ChSP} Lanco,Power Plant (Solar),Thermal/Power Industry,15.0,23.911,71.194,WRI Power Database
ChSP} MB,Power Plant (Solar),Thermal/Power Industry,25.0,23.908,71.222,WRI Power Database
ChSP} NKG,Power Plant (Solar),Thermal/Power Industry,10.0,23.8994,71.1935,WRI Power Database
ChSP} NSM_P2B4 GJ-O5/001,Power Plant (Solar),Thermal/Power Industry,50.0,23.883,71.195,WRI Power Database
ChSP} NSM_P2B4 GJ-O6/001,Power Plant (Solar),Thermal/Power Industry,50.0,23.894,71.188,WRI Power Database
ChSP} NSM_P2B4 GJ-O7/001,Power Plant (Solar),Thermal/Power Industry,50.0,23.907,71.199,WRI Power Database
ChSP} Orange B4,Power Plant (Solar),Thermal/Power Industry,40.0,23.893,71.197,WRI Power Database
ChSP} Palace,Power Plant (Solar),Thermal/Power Industry,15.0,23.9091,71.2107,WRI Power Database
ChSP} Renew B4,Power Plant (Solar),Thermal/Power Industry,40.0,23.909,71.205,WRI Power Database
ChSP} Roha,Power Plant (Solar),Thermal/Power Industry,25.0,23.9145,71.189,WRI Power Database
ChSP} SJVNL,Power Plant (Solar),Thermal/Power Industry,25.0,23.897,71.225,WRI Power Database
ChSP} SJVNL1,Power Plant (Solar),Thermal/Power Industry,5.0,23.897,71.22,WRI Power Database
ChSP} SJVNL2,Power Plant (Solar),Thermal/Power Industry,20.0,23.897,71.225,WRI Power Database
ChSP} Sun Clean,Power Plant (Solar),Thermal/Power Industry,6.0,23.895,71.222,WRI Power Database
ChSP} SunEdison,Power Plant (Solar),Thermal/Power Industry,25.0,23.9,71.209,WRI Power Database
ChSP} Surana,Power Plant (Solar),Thermal/Power Industry,5.0,23.8896,71.2065,WRI Power Database
ChSP} Tata,Power Plant (Solar),Thermal/Power Industry,25.0,23.929,71.206,WRI Power Database
ChSP} Torrent,Power Plant (Solar),Thermal/Power Industry,51.0,23.893,71.211,WRI Power Database
ChSP} Yantra,Power Plant (Solar),Thermal/Power Industry,4.9,23.8929,71.205,WRI Power Database
ChSP} ZF,Power Plant (Solar),Thermal/Power Industry,5.0,23.9033,71.209,WRI Power Database
Chadiyana 10,Power Plant (Solar),Thermal/Power Industry,10.0,23.695,71.566,WRI Power Database
Chadiyana 5,Power Plant (Solar),Thermal/Power Industry,5.0,23.6924,71.5682,WRI Power Database
Chagi,Power Plant (Solar),Thermal/Power Industry,39.0,15.524,77.266,WRI Power Database
Chahitara,Power Plant (Solar),Thermal/Power Industry,20.0,25.558,80.332,WRI Power Database
Challakere,Power Plant (Solar),Thermal/Power Industry,10.0,14.2,76.69,WRI Power Database
Chamrajanagara,Power Plant (Solar),Thermal/Power Industry,20.0,11.895,76.935,WRI Power Database
Chandapur,Power Plant (Solar),Thermal/Power Industry,10.0,14.965,75.186,WRI Power Database
Chandrapur Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,5.0,20.0209,79.2712,WRI Power Database
Channapatanna,Power Plant (Solar),Thermal/Power Industry,20.0,12.696,77.108,WRI Power Database
Charanka Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,221.0,23.907,71.1881,WRI Power Database
Chatgaon Telgaon,Power Plant (Solar),Thermal/Power Industry,50.0,18.97,76.215,WRI Power Database
Chegunta,Power Plant (Solar),Thermal/Power Industry,7.0,18.039,78.454,WRI Power Database
Chengam,Power Plant (Solar),Thermal/Power Industry,36.0,12.344,78.947,WRI Power Database
Chennur,Power Plant (Solar),Thermal/Power Industry,10.0,18.783,79.727,WRI Power Database
Chhadavada Wind Farm,Power Plant (Wind),Thermal/Power Industry,21.0,23.2443,70.4603,WRI Power Database
Chharrah,Power Plant (Solar),Thermal/Power Industry,10.0,23.385,86.385,WRI Power Database
Chikkanayakanahalli,Power Plant (Solar),Thermal/Power Industry,20.0,13.42,76.605,WRI Power Database
Chikkodi,Power Plant (Solar),Thermal/Power Industry,20.0,16.449,74.551,WRI Power Database
Chillkepally,Power Plant (Solar),Thermal/Power Industry,8.0,17.683,77.723,WRI Power Database
Chiluah,Power Plant (Solar),Thermal/Power Industry,10.0,27.608,79.684,WRI Power Database
Chilveru,Power Plant (Solar),Thermal/Power Industry,8.0,16.759,78.257,WRI Power Database
Chincholli,Power Plant (Solar),Thermal/Power Industry,20.0,17.402,77.381,WRI Power Database
Chingerbandh Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,5.0,20.6729,83.1107,WRI Power Database
Chittapura,Power Plant (Solar),Thermal/Power Industry,20.0,17.235,77.055,WRI Power Database
Choharianwali,Power Plant (Solar),Thermal/Power Industry,25.0,30.401,74.078,WRI Power Database
Chudiyala Omkar 1,Power Plant (Solar),Thermal/Power Industry,10.0,29.868,77.736,WRI Power Database
Chudiyala Omkar 2,Power Plant (Solar),Thermal/Power Industry,10.0,29.877,77.733,WRI Power Database
Chudiyala Omkar 3,Power Plant (Solar),Thermal/Power Industry,10.0,29.88,77.739,WRI Power Database
Chudiyala Profigate 1,Power Plant (Solar),Thermal/Power Industry,5.0,29.917,77.75,WRI Power Database
Chudiyala Profigate 2,Power Plant (Solar),Thermal/Power Industry,5.0,29.918,77.755,WRI Power Database
Chudiyala Rays,Power Plant (Solar),Thermal/Power Industry,20.0,29.874,77.757,WRI Power Database
Chukoda,Power Plant (Solar),Thermal/Power Industry,50.0,19.505,75.055,WRI Power Database
Civil Lines,Power Plant (Solar),Thermal/Power Industry,10.0,21.22,81.7,WRI Power Database
Cochin COK,Power Plant (Solar),Thermal/Power Industry,12.0,10.157,76.384,WRI Power Database
Cochin COK II,Power Plant (Solar),Thermal/Power Industry,10.0,10.149,76.3907,WRI Power Database
Coimbatore,Power Plant (Solar),Thermal/Power Industry,10.0,11.143,76.95,WRI Power Database
D.P.L.,Power Plant (Coal),Thermal/Power Industry,660.0,23.5211,87.3023,WRI Power Database
DADRI (NCTPP),Power Plant (Coal),Thermal/Power Industry,1820.0,28.603,77.6078,WRI Power Database
DADRI GT,Power Plant (Gas),Thermal/Power Industry,829.78,28.5932,77.6101,WRI Power Database
DAE RAJASTHAN,Power Plant (Nuclear),Thermal/Power Industry,100.0,24.8747,75.6189,WRI Power Database
DAHANU FRESNEL,Power Plant (Coal),Thermal/Power Industry,100.0,26.7803,72.0091,WRI Power Database
DAMODARAM SANJEEVAIAH,Power Plant (Coal),Thermal/Power Industry,1600.0,14.3444,80.1264,WRI Power Database
DANAPUR BMM,Power Plant (Coal),Thermal/Power Industry,25.0,15.1707,76.377,WRI Power Database
DAUND SUGAR,Power Plant (Biomass),Thermal/Power Industry,30.0,18.4271,74.6338,WRI Power Database
DAVANGERE MILL,Power Plant (Biomass),Thermal/Power Industry,24.0,14.3277,75.8808,WRI Power Database
DEHAR,Power Plant (Hydro),Thermal/Power Industry,990.0,31.4133,76.8686,WRI Power Database
DERANG,Power Plant (Coal),Thermal/Power Industry,1200.0,21.1238,84.9843,WRI Power Database
DGEN MEGA CCCP,Power Plant (Gas),Thermal/Power Industry,1200.0,21.6923,72.6215,WRI Power Database
DHAKRANI,Power Plant (Hydro),Thermal/Power Industry,33.75,30.4561,77.7368,WRI Power Database
DHALIPUR,Power Plant (Hydro),Thermal/Power Industry,51.0,30.4354,77.6821,WRI Power Database
DHANU,Power Plant (Coal),Thermal/Power Industry,500.0,19.9545,72.7478,WRI Power Database
DHARIWAL INF TPP,Power Plant (Coal),Thermal/Power Industry,600.0,20.0102,79.2033,WRI Power Database
DHAULI GANGA,Power Plant (Hydro),Thermal/Power Industry,280.0,29.8783,80.5727,WRI Power Database
DHOLPUR,Power Plant (Gas),Thermal/Power Industry,330.0,26.7024,77.8492,WRI Power Database
DHUVARAN CCPP,Power Plant (Gas),Thermal/Power Industry,595.2,22.2396,72.752,WRI Power Database
DIGHE WORKS,Power Plant (Oil),Thermal/Power Industry,22.0,19.1896,73.004,WRI Power Database
DIKCHU,Power Plant (Hydro),Thermal/Power Industry,96.0,27.4028,88.5247,WRI Power Database
DLF,Power Plant (Gas),Thermal/Power Industry,15.5,24.8271,92.9737,WRI Power Database
DNYANESHWAR MILL,Power Plant (Biomass),Thermal/Power Industry,12.96,19.4496,75.0382,WRI Power Database
DOLVI ISPAT,Power Plant (Oil),Thermal/Power Industry,67.6,18.69,73.039,WRI Power Database
DONKARAYI,Power Plant (Hydro),Thermal/Power Industry,25.0,17.8994,81.8296,WRI Power Database
DOYANG,Power Plant (Hydro),Thermal/Power Industry,75.0,26.2325,94.2612,WRI Power Database
DUDH GANGA,Power Plant (Hydro),Thermal/Power Industry,24.0,16.3537,74.0095,WRI Power Database
DUGGAVATHI MILL,Power Plant (Biomass),Thermal/Power Industry,22.0,14.6284,75.8448,WRI Power Database
DULHASTI,Power Plant (Hydro),Thermal/Power Industry,390.0,33.3691,75.7985,WRI Power Database
DURG SPONGE IRON,Power Plant (Coal),Thermal/Power Industry,12.8,21.1878,81.2099,WRI Power Database
DURGAPUR,Power Plant (Coal),Thermal/Power Industry,210.0,23.531,87.25,WRI Power Database
DURGAPUR STEEL TPS,Power Plant (Coal),Thermal/Power Industry,1000.0,23.58,87.2043,WRI Power Database
Dadri ISCC,Power Plant (Solar),Thermal/Power Industry,14.0,28.5915,77.6099,WRI Power Database
Dadri Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,5.0,28.5787,77.6314,WRI Power Database
Dahej,Power Plant (Solar),Thermal/Power Industry,10.0,21.694,72.604,WRI Power Database
Dahri,Power Plant (Solar),Thermal/Power Industry,25.0,22.065,72.62,WRI Power Database
Daisar,Power Plant (Solar),Thermal/Power Industry,20.0,23.925,71.522,WRI Power Database
Dakor,Power Plant (Solar),Thermal/Power Industry,40.0,25.89,79.425,WRI Power Database
Dammakhedi,Power Plant (Solar),Thermal/Power Industry,45.4,23.982,75.327,WRI Power Database
Dammakhedi Fixed,Power Plant (Solar),Thermal/Power Industry,20.0,23.98,75.336,WRI Power Database
Dammakhedi Tracker,Power Plant (Solar),Thermal/Power Industry,31.0,23.982,75.327,WRI Power Database
Dandeli Mill,Power Plant (Gas),Thermal/Power Industry,20.0,15.2529,74.6283,WRI Power Database
Dariba,Power Plant (Solar),Thermal/Power Industry,4.8,24.954,74.132,WRI Power Database
Daudpur,Power Plant (Solar),Thermal/Power Industry,25.0,24.599,84.686,WRI Power Database
Daulat Pura,Power Plant (Solar),Thermal/Power Industry,25.0,30.087,74.039,WRI Power Database
Debari,Power Plant (Solar),Thermal/Power Industry,12.0,24.6,73.821,WRI Power Database
Deh OWM,Power Plant (Solar),Thermal/Power Industry,5.0,27.894,72.958,WRI Power Database
Deh Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,2.0,27.9253,72.8899,WRI Power Database
Deh Welspun,Power Plant (Solar),Thermal/Power Industry,5.0,27.907,72.953,WRI Power Database
Dehriya Susner,Power Plant (Solar),Thermal/Power Industry,10.0,23.985,76.023,WRI Power Database
Delhi DEL II,Power Plant (Solar),Thermal/Power Industry,5.7,28.555,77.085,WRI Power Database
Dera Baba Jaimal Singh,Power Plant (Solar),Thermal/Power Industry,12.0,31.545,75.33,WRI Power Database
Devadurga,Power Plant (Solar),Thermal/Power Industry,20.0,16.406,77.107,WRI Power Database
Devgarh Wind Farm,Power Plant (Wind),Thermal/Power Industry,37.5,23.964,74.6215,WRI Power Database
Dhabla Sondhya Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,28.2,23.8267,75.8988,WRI Power Database
Dhama,Power Plant (Solar),Thermal/Power Industry,9.3,23.382,71.661,WRI Power Database
Dhama Azure,Power Plant (Solar),Thermal/Power Industry,5.0,23.3754,71.6593,WRI Power Database
Dhama ESP,Power Plant (Solar),Thermal/Power Industry,5.0,23.374,71.651,WRI Power Database
Dhamalpur,Power Plant (Solar),Thermal/Power Industry,6.0,22.357,70.906,WRI Power Database
Dhanera Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,25.0,24.5216,72.1999,WRI Power Database
Dhank - Aravali Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,5.0,21.7766,70.0773,WRI Power Database
Dhank CSTPL,Power Plant (Solar),Thermal/Power Industry,10.0,21.748,70.099,WRI Power Database
Dhank GGEPL,Power Plant (Solar),Thermal/Power Industry,25.0,21.741,70.102,WRI Power Database
Dhursar,Power Plant (Solar),Thermal/Power Industry,125.0,26.7846,72.0083,WRI Power Database
Dichpally,Power Plant (Solar),Thermal/Power Industry,143.0,18.635,78.24,WRI Power Database
Digsar A,Power Plant (Solar),Thermal/Power Industry,25.0,22.725,71.442,WRI Power Database
Diu,Power Plant (Solar),Thermal/Power Industry,9.0,20.707,70.954,WRI Power Database
Diwakar,Power Plant (Solar),Thermal/Power Industry,100.0,27.7355,71.6917,WRI Power Database
Domagunda Mytrah,Power Plant (Solar),Thermal/Power Industry,15.0,18.276,78.469,WRI Power Database
Dondlapalle,Power Plant (Solar),Thermal/Power Industry,25.0,16.887,78.084,WRI Power Database
Dugar Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,1.0,26.2776,72.651,WRI Power Database
Durg,Power Plant (Solar),Thermal/Power Industry,10.0,21.523,81.275,WRI Power Database
Durg II,Power Plant (Solar),Thermal/Power Industry,10.0,21.523,81.275,WRI Power Database
Durg III,Power Plant (Solar),Thermal/Power Industry,10.0,21.523,81.275,WRI Power Database
Durg IV,Power Plant (Solar),Thermal/Power Industry,30.0,21.523,81.275,WRI Power Database
Durjani A,Power Plant (Solar),Thermal/Power Industry,20.0,27.348,71.995,WRI Power Database
ELDARI,Power Plant (Hydro),Thermal/Power Industry,22.5,19.7197,76.733,WRI Power Database
EMCO Sonurle Wind Farm,Power Plant (Wind),Thermal/Power Industry,9.0,16.8265,73.9269,WRI Power Database
ESSAR GT IMP.,Power Plant (Gas),Thermal/Power Industry,515.0,21.111,72.655,WRI Power Database
Eenadu,Power Plant (Solar),Thermal/Power Industry,6.5,16.78,78.335,WRI Power Database
Eluvanampatty,Power Plant (Solar),Thermal/Power Industry,30.0,10.134,77.689,WRI Power Database
Enercon Babarzar Wind Farm,Power Plant (Wind),Thermal/Power Industry,11.2,22.1421,69.8442,WRI Power Database
Enercon Chitradurga Wind Farm,Power Plant (Wind),Thermal/Power Industry,68.8,13.7276,76.5137,WRI Power Database
Enercon Sonoshi Wind Farm,Power Plant (Wind),Thermal/Power Industry,20.0,19.6274,73.7839,WRI Power Database
Ettankulam,Power Plant (Solar),Thermal/Power Industry,20.0,8.853,77.605,WRI Power Database
FARAKKA STPS,Power Plant (Coal),Thermal/Power Industry,2100.0,24.772,87.894,WRI Power Database
F_BAD CCGT,Power Plant (Gas),Thermal/Power Industry,431.586,28.3452,77.3615,WRI Power Database
Fatepur Emco,Power Plant (Solar),Thermal/Power Industry,5.0,23.396,71.639,WRI Power Database
Fatepur MySolar,Power Plant (Solar),Thermal/Power Industry,30.0,23.419,71.62,WRI Power Database
Frost International Palankottai Wind Farm,Power Plant (Wind),Thermal/Power Industry,4.25,9.1269,77.6458,WRI Power Database
G.I.P.C.L. GT,Power Plant (Gas),Thermal/Power Industry,310.0,22.3758,73.1017,WRI Power Database
GACL Kutch Wind Farm,Power Plant (Wind),Thermal/Power Industry,39.0,23.0272,69.9494,WRI Power Database
GADARWARA,Power Plant (Coal),Thermal/Power Industry,800.0,22.8618,78.8648,WRI Power Database
GADEPAN WORKS,Power Plant (Gas),Thermal/Power Industry,35.0,25.1521,76.182,WRI Power Database
GAJ,Power Plant (Hydro),Thermal/Power Industry,10.5,32.2417,76.2787,WRI Power Database
GAMA CCPP  Module - 1,Power Plant (Gas),Thermal/Power Industry,225.0,29.1411,78.9632,WRI Power Database
GANDHAR GT,Power Plant (Gas),Thermal/Power Industry,648.0,21.8242,73.1136,WRI Power Database
GANDHARBAL,Power Plant (Hydro),Thermal/Power Industry,15.0,34.2236,74.7781,WRI Power Database
GANDHI NAGAR,Power Plant (Coal),Thermal/Power Industry,630.0,25.2502,72.6765,WRI Power Database
GANDHI SAGAR,Power Plant (Hydro),Thermal/Power Industry,115.0,24.6997,75.5529,WRI Power Database
GANGUWAL,Power Plant (Hydro),Thermal/Power Industry,77.65,31.268,76.492,WRI Power Database
GAUTAMI CCCP,Power Plant (Gas),Thermal/Power Industry,468.57,17.0386,82.1286,WRI Power Database
GEPL,Power Plant (Coal),Thermal/Power Industry,120.0,19.9324,79.104,WRI Power Database
GFL Gudhepanchgani,Power Plant (Wind),Thermal/Power Industry,23.1,17.1309,73.9765,WRI Power Database
GHANVI,Power Plant (Hydro),Thermal/Power Industry,22.5,31.5425,77.7786,WRI Power Database
GHAT PRABHA,Power Plant (Hydro),Thermal/Power Industry,32.0,16.1424,74.6447,WRI Power Database
GHATGHAR PSS,Power Plant (Hydro),Thermal/Power Industry,250.0,19.5334,73.6509,WRI Power Database
GHTP (LEH.MOH.),Power Plant (Coal),Thermal/Power Industry,920.0,30.2666,75.1661,WRI Power Database
GHUGUS LMEL,Power Plant (Coal),Thermal/Power Industry,30.0,19.9306,79.12,WRI Power Database
GIRI BATA,Power Plant (Hydro),Thermal/Power Industry,60.0,30.5307,77.4968,WRI Power Database
GIWPP Telagi,Power Plant (Wind),Thermal/Power Industry,23.1,14.6534,75.8613,WRI Power Database
GMR WARORA TPP,Power Plant (Coal),Thermal/Power Industry,600.0,20.2723,78.9793,WRI Power Database
GODAVARI GT,Power Plant (Gas),Thermal/Power Industry,205.24,17.0587,82.3097,WRI Power Database
GOINDWAL SAHIB TPP,Power Plant (Coal),Thermal/Power Industry,540.0,31.3841,75.1464,WRI Power Database
GRACE INDUSTRIES,Power Plant (Coal),Thermal/Power Industry,25.0,20.0058,79.1845,WRI Power Database
GREL CCPP (RAJAMUNDRY),Power Plant (Gas),Thermal/Power Industry,768.0,16.9248,81.8111,WRI Power Database
GRT 6,Power Plant (Solar),Thermal/Power Industry,5.0,9.442,78.053,WRI Power Database
GULBARGA CEMENT,Power Plant (Coal),Thermal/Power Industry,55.0,17.1084,77.1325,WRI Power Database
GUMTI,Power Plant (Hydro),Thermal/Power Industry,15.0,23.4263,91.8223,WRI Power Database
Gadag Wind Farm,Power Plant (Wind),Thermal/Power Industry,25.6,15.3418,75.5868,WRI Power Database
Gadagi,Power Plant (Solar),Thermal/Power Industry,10.0,17.96,77.56,WRI Power Database
Gadarpur Punj 1,Power Plant (Solar),Thermal/Power Industry,10.0,29.065,79.197,WRI Power Database
Gadarpur Punj 2,Power Plant (Solar),Thermal/Power Industry,10.0,29.052,79.187,WRI Power Database
Gadarpur Punj 3,Power Plant (Solar),Thermal/Power Industry,10.0,29.085,79.283,WRI Power Database
Gadarpur Sugar Mill,Power Plant (Solar),Thermal/Power Industry,12.5,29.05,79.22,WRI Power Database
Gadhna,Power Plant (Solar),Thermal/Power Industry,5.0,27.475,72.388,WRI Power Database
Gadna 1 Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,3.0,27.4269,72.3896,WRI Power Database
Gadna 2 Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,5.0,27.4296,72.3969,WRI Power Database
Gadwal Mytrah,Power Plant (Solar),Thermal/Power Industry,15.0,16.266,77.779,WRI Power Database
Gadwal Vogt,Power Plant (Solar),Thermal/Power Industry,10.0,16.152,77.763,WRI Power Database
Gajner BMD,Power Plant (Solar),Thermal/Power Industry,5.9,27.953,73.052,WRI Power Database
Gajner Fonroche,Power Plant (Solar),Thermal/Power Industry,20.0,27.979,73.038,WRI Power Database
Gajner LEPL 10,Power Plant (Solar),Thermal/Power Industry,10.0,27.97,73.065,WRI Power Database
Gamiwala 1,Power Plant (Solar),Thermal/Power Industry,21.0,29.796,75.523,WRI Power Database
Gamiwala 2,Power Plant (Solar),Thermal/Power Industry,20.0,29.802,75.52,WRI Power Database
Gandhinagar Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,1.0,23.1534,72.669,WRI Power Database
Gangakhed,Power Plant (Solar),Thermal/Power Industry,40.0,18.975,76.695,WRI Power Database
Gangapura,Power Plant (Solar),Thermal/Power Industry,7.0,27.925,72.891,WRI Power Database
Gangavati,Power Plant (Solar),Thermal/Power Industry,20.0,15.45,76.58,WRI Power Database
Garacharma Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,5.0,11.6117,92.7109,WRI Power Database
Ghaggar Branch Canal,Power Plant (Solar),Thermal/Power Industry,7.6,29.894,75.772,WRI Power Database
Ghaggar Link Canal,Power Plant (Solar),Thermal/Power Industry,7.6,30.503,76.34,WRI Power Database
Ghanapur Solarpack,Power Plant (Solar),Thermal/Power Industry,15.0,16.624,78.044,WRI Power Database
Ghataprabha,Power Plant (Solar),Thermal/Power Industry,40.0,16.23,74.77,WRI Power Database
Ghattu,Power Plant (Solar),Thermal/Power Industry,39.0,16.133,77.558,WRI Power Database
Godawari,Power Plant (Solar),Thermal/Power Industry,50.0,27.6003,72.2241,WRI Power Database
Godelai Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,1.0,26.6532,72.5377,WRI Power Database
Gollagudem,Power Plant (Solar),Thermal/Power Industry,5.0,16.859,81.359,WRI Power Database
Gondri Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,5.0,18.3055,76.6551,WRI Power Database
Gorsar Wind Farm,Power Plant (Wind),Thermal/Power Industry,7.5,21.3131,69.9187,WRI Power Database
Govindpura A,Power Plant (Solar),Thermal/Power Industry,25.0,25.415,79.439,WRI Power Database
Gowribidanuru,Power Plant (Solar),Thermal/Power Industry,20.0,13.615,77.54,WRI Power Database
Gowriganipalli BGC,Power Plant (Solar),Thermal/Power Industry,4.0,13.7482,77.5527,WRI Power Database
Gowriganipalli MV10,Power Plant (Solar),Thermal/Power Industry,10.9,13.727,77.562,WRI Power Database
Gowriganipalli MV5,Power Plant (Solar),Thermal/Power Industry,5.0,13.726,77.562,WRI Power Database
Goyalkhedi,Power Plant (Solar),Thermal/Power Industry,32.0,23.748,75.64,WRI Power Database
Goyalri,Power Plant (Solar),Thermal/Power Industry,60.0,27.95,72.988,WRI Power Database
Grewal Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,1.8,30.4613,74.6188,WRI Power Database
Gulabpura Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,5.0,25.86,74.6567,WRI Power Database
Gundlupet,Power Plant (Solar),Thermal/Power Industry,20.0,11.805,76.67,WRI Power Database
Guntipally,Power Plant (Solar),Thermal/Power Industry,15.0,16.27,77.835,WRI Power Database
Gurha SM,Power Plant (Solar),Thermal/Power Industry,10.0,27.859,72.841,WRI Power Database
Gurha VS,Power Plant (Solar),Thermal/Power Industry,10.0,27.9,72.926,WRI Power Database
Gurukul Narsan,Power Plant (Solar),Thermal/Power Industry,5.0,29.685,77.845,WRI Power Database
Guttigoli,Power Plant (Solar),Thermal/Power Industry,135.0,16.135,75.27,WRI Power Database
Gwal Pahari Solar Power Plant,Power Plant (Solar),Thermal/Power Industry,3.0,28.4272,77.1596,WRI Power Database
HALDIA,Power Plant (Coal),Thermal/Power Industry,600.0,22.1042,88.1764,WRI Power Database
HAMPI,Power Plant (Hydro),Thermal/Power Industry,36.0,15.2615,76.3379,WRI Power Database
HAPURI MILL,Power Plant (Biomass),Thermal/Power Industry,24.0,16.6038,74.4045,WRI Power Database
HASDEOBANGO,Power Plant (Hydro),Thermal/Power Industry,120.0,22.604,82.5977,WRI Power Database
HAVALGA SUGAR,Power Plant (Biomass),Thermal/Power Industry,25.5,17.1202,76.4004,WRI Power Database
HAZIRA CCCP,Power Plant (Gas),Thermal/Power Industry,156.1,22.3256,69.7399,WRI Power Database
HAZIRA-GSECL,Power Plant (Gas),Thermal/Power Industry,351.43,21.1652,72.6613,WRI Power Database
HINGOLI MILL,Power Plant (Biomass),Thermal/Power Industry,18.9,19.2829,77.1384,WRI Power Database
HIRAKUD I&II,Power Plant (Hydro),Thermal/Power Industry,347.5,21.5337,83.8754,WRI Power Database
HIRIYUR BIOMASS,Power Plant (Biomass),Thermal/Power Industry,25.0,13.9808,76.6279,WRI Power Database
HZL Gadag Wind Farm,Power Plant (Wind),Thermal/Power Industry,34.4,15.3654,75.5639,WRI Power Database
HZL Nandurbar Maharashtra,Power Plant (Wind),Thermal/Power Industry,25.5,21.3027,74.3091,WRI Power Database
HZL Palladum Wind Farm,Power Plant (Wind),Thermal/Power Industry,21.0,10.8674,77.4588,WRI Power Database
HZL Parewar Wind Farm,Power Plant (Wind),Thermal/Power Industry,27.3,27.2492,70.6722,WRI Power Database
HZL Samana Wind Farm,Power Plant (Wind),Thermal/Power Industry,88.8,22.0335,70.2313,WRI Power Database
H_GANJ B,Power Plant (Coal),Thermal/Power Industry,605.0,28.0179,78.1326,WRI Power Database
Hanur,Power Plant (Solar),Thermal/Power Industry,20.0,12.15,77.215,WRI Power Database
Harapanahalli GSC,Power Plant (Solar),Thermal/Power Industry,4.0,14.8062,76.1265,WRI Power Database
Harapanahalli RBW,Power Plant (Solar),Thermal/Power Industry,14.0,14.792,76.085,WRI Power Database
Hardhani 100,Power Plant (Solar),Thermal/Power Industry,82.0,26.73,73.199,WRI Power Database
Hardhani 20,Power Plant (Solar),Thermal/Power Industry,20.0,26.73,73.199,WRI Power Database
Hardhani 40A,Power Plant (Solar),Thermal/Power Industry,40.0,26.73,73.199,WRI Power Database
Hardhani 40B,Power Plant (Solar),Thermal/Power Industry,40.0,26.73,73.199,WRI Power Database
Harij,Power Plant (Solar),Thermal/Power Industry,30.0,23.715,71.875,WRI Power Database
Harthikote,Power Plant (Solar),Thermal/Power Industry,10.0,14.131,76.695,WRI Power Database
Harthikote A,Power Plant (Solar),Thermal/Power Industry,100.0,14.144,76.682,WRI Power Database
Hilabeli,Power Plant (Solar),Thermal/Power Industry,10.0,21.697,70.02,WRI Power Database
Hindol,Power Plant (Solar),Thermal/Power Industry,40.0,20.62,85.185,WRI Power Database
